T2F.Punch,T2F.X,T2F.Y,T2M.Punch,T2M.X,T2M.Y,T2Q.Punch,T2Q.X,T2Q.Y,T2R.Punch,T2R.X,T2R.Y,T2Z.Punch,T2Z.X,T2Z.Y,T2AB.Punch,T2AB.X,T2AB.Y,T2F_boundary.X,T2F_boundary.Y,T2M_boundary.X,T2M_boundary.Y,T2Q_boundary.X,T2Q_boundary.Y,T2R_boundary.X,T2R_boundary.Y,T2Z_boundary.X,T2Z_boundary.Y,T2AB_boundary.X,T2AB_boundary.Y
,,,,,,,,,,,,,,,,,,15.19065937,5.377121781,33.51700532,17.83857248,,,,,,,,
,,,,,,,,,,,,,,,,,,15.53906899,16.97335526,33.65636916,4.633847928,,,,,,,,
,,,,,,,,,,,,,,,,,,15.60875092,5.661656303,33.93509686,17.61791305,,,,,,,,
,,,,,,,,,,,,,,,,,,15.95716053,16.64817295,34.07446071,4.866121007,,,,,,,,
,,,,,,,,,,,,,,,,,,16.02684246,5.998452268,34.3531884,17.34499218,,,,,,,,
,,,,,,,,,,,,,,,,,,16.37525208,16.27072919,34.49255225,5.139041875,,,,,,,,
,,,,,,,,,,,,,,,,,,16.444934,6.375896022,34.77127994,17.04303718,,,,,,,,
,,,,,,,,,,,,,,,,,,16.75850266,15.85960584,34.91064379,5.464224186,,,,,,,,
,,,,,,,,,,,,,,,,,,16.82818458,6.807923949,35.18937149,16.67720708,,,,,,,,
,,,,,,,,,,,,,,,,,,17.07207131,15.47809731,35.32873533,5.830054286,,,,,,,,
,,,,,,,,,,,,,,,,,,17.14175324,7.203368866,35.57262207,16.30557015,,,,,,,,
,,,,,,,,,,,,,,,,,,17.35079901,15.06871601,35.71198591,6.222595789,,,,,,,,
,,,,,,,,,,,,,,,,,,17.42048093,7.621460408,35.99071361,15.83173307,,,,,,,,
,,,,,,,,,,,,,,,,,,17.6295267,14.59836302,36.02555457,6.584941793,,,,,,,,
,,,,,,,,,,,,,,,,,,17.66436767,8.048262191,36.30428227,6.968192373,,,,,,,,
,,,,,,,,,,,,,,,,,,17.87341344,8.489581042,36.30428227,15.40841539,,,,,,,,
,,,,,,,,,,,,,,,,,,17.87341344,14.0989759,36.58300996,7.403704397,,,,,,,,
,,,,,,,,,,,,,,,,,,18.04761825,8.919286238,36.58300996,14.9816136,,,,,,,,
,,,,,,,,,,,,,,,,,,18.04761825,13.65765705,36.82689669,7.874057382,,,,,,,,
,,,,,,,,,,,,,,,,,,18.18698209,9.354798261,36.82689669,14.56352206,,,,,,,,
,,,,,,,,,,,,,,,,,,18.18698209,13.22214503,37.03594246,8.303762578,,,,,,,,
,,,,,,,,,,,,,,,,,,18.32634594,9.929674132,37.03594246,14.08736225,,,,,,,,
,,,,,,,,,,,,,,,,,,18.32634594,12.64726916,37.21014727,8.745081429,,,,,,,,
,,,,,,,,,,,,,,,,,,18.43086883,10.59165241,37.21014727,13.65765705,,,,,,,,
,,,,,,,,,,,,,,,,,,18.43086883,11.00974395,37.34951112,9.198013933,,,,,,,,
,,,,,,,,,,,,,,,,,,18.43086883,11.42783549,37.34951112,13.22214503,,,,,,,,
,,,,,,,,,,,,,,,,,,18.43086883,12.00271136,37.48887497,9.790310285,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.48887497,12.59500771,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.59339785,10.38260664,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.59339785,10.76585722,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.59339785,11.49751742,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.59339785,12.03755232,,,,,,,,
